,object,saccade_id,sim,pos.x,pos.y,goal.y,goal.x,ts,rot,trial,saccade_num
1441,square,0000-0152,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,6.0,6.0,152,0.0,square-0-0,115
1442,square,0000-0156,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,9.0,156,0.0,square-0-0,116
1443,triangle,0000-0004,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,3.0,2.0,4,91.67324722093171,triangle-1-6,78
1444,triangle,0000-0008,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,8,91.67324722093171,triangle-1-6,79
1445,triangle,0000-0012,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,12,91.67324722093171,triangle-1-6,80
1446,triangle,0000-0016,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,16,91.67324722093171,triangle-1-6,81
1447,triangle,0000-0020,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,20,91.67324722093171,triangle-1-6,82
1448,triangle,0000-0024,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,24,91.67324722093171,triangle-1-6,83
1449,triangle,0000-0028,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,28,91.67324722093171,triangle-1-6,84
1450,triangle,0000-0032,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,32,91.67324722093171,triangle-1-6,85
1451,triangle,0000-0036,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,36,91.67324722093171,triangle-1-6,86
1452,triangle,0000-0040,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,40,91.67324722093171,triangle-1-6,87
1453,triangle,0000-0044,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,44,91.67324722093171,triangle-1-6,88
1454,triangle,0000-0048,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,48,91.67324722093171,triangle-1-6,89
1455,triangle,0000-0052,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,52,91.67324722093171,triangle-1-6,90
1456,triangle,0000-0056,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,56,91.67324722093171,triangle-1-6,91
1457,triangle,0000-0060,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,60,91.67324722093171,triangle-1-6,92
1458,triangle,0000-0064,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,64,91.67324722093171,triangle-1-6,93
1459,triangle,0000-0068,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,68,91.67324722093171,triangle-1-6,94
1460,triangle,0000-0072,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,72,91.67324722093171,triangle-1-6,95
1461,triangle,0000-0076,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,76,91.67324722093171,triangle-1-6,96
1462,triangle,0000-0080,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,80,91.67324722093171,triangle-1-6,97
1463,triangle,0000-0084,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,84,91.67324722093171,triangle-1-6,98
1464,triangle,0000-0088,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,88,91.67324722093171,triangle-1-6,99
1465,triangle,0000-0092,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,92,91.67324722093171,triangle-1-6,100
1466,triangle,0000-0096,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,96,91.67324722093171,triangle-1-6,101
1467,triangle,0000-0100,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,100,91.67324722093171,triangle-1-6,102
1468,triangle,0000-0104,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,104,91.67324722093171,triangle-1-6,103
1469,triangle,0000-0108,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,108,91.67324722093171,triangle-1-6,104
1470,triangle,0000-0112,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,112,91.67324722093171,triangle-1-6,105
1471,triangle,0000-0116,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,116,91.67324722093171,triangle-1-6,106
1472,triangle,0000-0120,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,120,91.67324722093171,triangle-1-6,107
1473,triangle,0000-0124,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,124,91.67324722093171,triangle-1-6,108
1474,triangle,0000-0128,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,128,91.67324722093171,triangle-1-6,109
1475,triangle,0000-0132,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,132,91.67324722093171,triangle-1-6,110
1476,triangle,0000-0136,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,136,91.67324722093171,triangle-1-6,111
1477,triangle,0000-0140,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,140,91.67324722093171,triangle-1-6,112
1478,triangle,0000-0144,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,144,91.67324722093171,triangle-1-6,113
1479,triangle,0000-0148,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,148,91.67324722093171,triangle-1-6,114
1480,triangle,0000-0152,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,6.0,152,91.67324722093171,triangle-1-6,115
1481,triangle,0000-0156,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,9.0,0.0,156,91.67324722093171,triangle-1-6,116
1482,square,0000-0004,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,4,34.37746770784939,square-0-6,78
