,world,position,angle,saccade_id,goal,sim,pos.x,pos.y,goal.x,goal.y,saccade,rot
33,square,[20. 20.],0.8,0000-0052,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,52,45.83662361046586
34,square,[20. 20.],0.8,0000-0056,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,56,45.83662361046586
35,square,[20. 20.],0.8,0000-0060,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,60,45.83662361046586
36,square,[20. 20.],0.8,0000-0064,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,64,45.83662361046586
37,square,[20. 20.],0.8,0000-0068,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,68,45.83662361046586
38,square,[20. 20.],0.8,0000-0072,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,72,45.83662361046586
39,square,[20. 20.],0.8,0000-0076,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,76,45.83662361046586
40,triangle,[20. 20.],0.2,0000-0000,[[8. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,7.0,0,11.459155902616464
41,triangle,[20. 20.],0.2,0000-0004,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,4,11.459155902616464
42,triangle,[20. 20.],0.2,0000-0008,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,8,11.459155902616464
43,triangle,[20. 20.],0.2,0000-0012,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,12,11.459155902616464
44,triangle,[20. 20.],0.2,0000-0016,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,16,11.459155902616464
45,triangle,[20. 20.],0.2,0000-0020,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,20,11.459155902616464
46,triangle,[20. 20.],0.2,0000-0024,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,24,11.459155902616464
47,triangle,[20. 20.],0.2,0000-0028,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,28,11.459155902616464
48,triangle,[20. 20.],0.2,0000-0032,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,32,11.459155902616464
49,triangle,[20. 20.],0.2,0000-0036,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,36,11.459155902616464
50,triangle,[20. 20.],0.2,0000-0040,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,40,11.459155902616464
51,triangle,[20. 20.],0.2,0000-0044,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,44,11.459155902616464
52,triangle,[20. 20.],0.2,0000-0048,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,48,11.459155902616464
53,triangle,[20. 20.],0.2,0000-0052,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,52,11.459155902616464
54,triangle,[20. 20.],0.2,0000-0056,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,56,11.459155902616464
55,triangle,[20. 20.],0.2,0000-0060,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,60,11.459155902616464
56,triangle,[20. 20.],0.2,0000-0064,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,64,11.459155902616464
57,triangle,[20. 20.],0.2,0000-0068,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,68,11.459155902616464
58,triangle,[20. 20.],0.2,0000-0072,[[8. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,9.0,72,11.459155902616464
59,triangle,[20. 20.],0.2,0000-0076,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,76,11.459155902616464
60,square,[20. 20.],0.6,0000-0000,[[0. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,0.0,1.0,0,34.37746770784939
61,square,[20. 20.],0.6,0000-0004,[[8. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,0.0,4,34.37746770784939
62,square,[20. 20.],0.6,0000-0008,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,8,34.37746770784939
63,square,[20. 20.],0.6,0000-0012,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,12,34.37746770784939
64,square,[20. 20.],0.6,0000-0016,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,16,34.37746770784939
65,square,[20. 20.],0.6,0000-0020,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,20,34.37746770784939
66,square,[20. 20.],0.6,0000-0024,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,24,34.37746770784939
67,square,[20. 20.],0.6,0000-0028,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,28,34.37746770784939
68,square,[20. 20.],0.6,0000-0032,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,32,34.37746770784939
69,square,[20. 20.],0.6,0000-0036,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,36,34.37746770784939
70,square,[20. 20.],0.6,0000-0040,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,40,34.37746770784939
71,square,[20. 20.],0.6,0000-0044,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,44,34.37746770784939
72,square,[20. 20.],0.6,0000-0048,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,48,34.37746770784939
73,square,[20. 20.],0.6,0000-0052,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,52,34.37746770784939
74,square,[20. 20.],0.6,0000-0056,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,56,34.37746770784939
75,square,[20. 20.],0.6,0000-0060,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,60,34.37746770784939
76,square,[20. 20.],0.6,0000-0064,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,64,34.37746770784939
77,square,[20. 20.],0.6,0000-0068,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,68,34.37746770784939
78,square,[20. 20.],0.6,0000-0072,[[2. 7.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,7.0,72,34.37746770784939
79,square,[20. 20.],0.6,0000-0076,[[8. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,1.0,76,34.37746770784939
80,square,[20. 20.],0.0,0000-0000,[[5. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,3.0,0,0.0
